object_id,department_id
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
482,1
483,1
484,1
485,1
486,1
500,1
3926,1
3963,1
3970,1
3971,1
5223,1
5896,1
7499,1
10028,1
10035,1
10049,1
10061,1
10062,1
10065,1
10066,1
10067,1
10068,1
10070,1
10072,1
10075,1
10076,1
10077,1
10080,1
10081,1
10082,1
10083,1
10084,1
10085,1
10087,1
10092,1
10093,1
10116,1
10126,1
10127,1
10128,1
10131,1
10136,1
10138,1
10142,1
10147,1
10148,1
10149,1
10150,1
10151,1
10152,1
10154,1
10155,1
10156,1
10158,1
10159,1
10174,1
10175,1
10176,1
10177,1
10178,1
10180,1
10181,1
10182,1
10183,1
10184,1
10185,1
10186,1
10190,1
10191,1
10194,1
10195,1
10196,1
10198,1
10207,1
10209,1
10210,1
10215,1
10235,1
10239,1
10240,1
10241,1
10246,1
10247,1
10251,1
10252,1
10254,1
10255,1
10256,1
10258,1
10259,1
10337,1
10338,1
10351,1
10352,1
10353,1
10371,1
10375,1
10376,1
10381,1
10388,1
10391,1
10393,1
10400,1
10401,1
10402,1
10406,1
10421,1
10422,1
10423,1
10425,1
10430,1
10431,1
10434,1
10435,1
10436,1
10437,1
10438,1
10439,1
10440,1
10441,1
10442,1
10443,1
10444,1
10445,1
10446,1
10447,1
10448,1
10449,1
10450,1
10451,1
10452,1
10453,1
10454,1
10455,1
10456,1
10457,1
10458,1
10459,1
10460,1
10461,1
10462,1
10463,1
10464,1
10465,1
10466,1
10467,1
10468,1
10469,1
10470,1
10471,1
10472,1
10473,1
10474,1
10475,1
10476,1
10478,1
10480,1
10481,1
10482,1
10491,1
10492,1
10493,1
10496,1
10497,1
10499,1
10500,1
10501,1
10503,1
10504,1
10505,1
10507,1
10508,1
10509,1
10510,1
10516,1
10517,1
10519,1
10521,1
10522,1
10524,1
10526,1
10527,1
10530,1
10531,1
10533,1
10534,1
10535,1
10537,1
10554,1
10555,1
10557,1
10559,1
10560,1
10566,1
10570,1
10578,1
10584,1
10586,1
10587,1
10589,1
10590,1
10607,1
10610,1
10612,1
10614,1
10628,1
10629,1
10630,1
10644,1
10647,1
10649,1
10657,1
10674,1
10705,1
10708,1
10730,1
10738,1
10742,1
10743,1
10745,1
10746,1
10747,1
10749,1
10762,1
10767,1
10768,1
10769,1
10771,1
10777,1
10783,1
10784,1
10785,1
10786,1
10788,1
10790,1
10791,1
10793,1
10794,1
10795,1
10796,1
10798,1
10799,1
10800,1
10801,1
10805,1
10806,1
10808,1
10809,1
10810,1
10811,1
10812,1
10813,1
10817,1
10819,1
10820,1
10824,1
10825,1
10827,1
10828,1
10830,1
10832,1
10833,1
10834,1
10835,1
10836,1
10837,1
10843,1
10845,1
10846,1
10848,1
10849,1
10850,1
10851,1
10852,1
10853,1
10858,1
10859,1
10860,1
10861,1
10862,1
10863,1
10864,1
10865,1
10866,1
10867,1
10874,1
10878,1
10879,1
10880,1
10890,1
10894,1
10895,1
10897,1
10905,1
10915,1
10916,1
10919,1
10922,1
10923,1
10924,1
10925,1
10930,1
10933,1
10934,1
10935,1
10936,1
10937,1
10939,1
10944,1
10945,1
10946,1
10947,1
10950,1
10952,1
10954,1
10955,1
10959,1
10960,1
10966,1
10967,1
10968,1
10974,1
10975,1
10976,1
10978,1
10980,1
10984,1
10988,1
10989,1
10990,1
10991,1
10993,1
10994,1
10995,1
10996,1
10997,1
11001,1
11006,1
11007,1
11008,1
11011,1
11012,1
11020,1
11028,1
11029,1
11031,1
11032,1
11034,1
11035,1
11036,1
11038,1
11040,1
11042,1
11046,1
11050,1
11051,1
11052,1
11053,1
11054,1
11055,1
11057,1
11058,1
11060,1
11061,1
11062,1
11063,1
11075,1
11077,1
11079,1
11080,1
11081,1
11082,1
11083,1
11088,1
11101,1
11103,1
11104,1
11105,1
11107,1
11111,1
11112,1
11113,1
11116,1
11117,1
11122,1
11123,1
11126,1
11127,1
11130,1
11133,1
11134,1
11135,1
11136,1
11137,1
11140,1
11141,1
11142,1
11145,1
11149,1
11159,1
11160,1
11168,1
11170,1
11173,1
11174,1
11175,1
11176,1
11177,1
11179,1
11180,1
11181,1
11182,1
11187,1
11188,1
11189,1
11191,1
11192,1
11193,1
11194,1
11195,1
11199,1
11201,1
11205,1
11207,1
11208,1
11209,1
11212,1
11215,1
11223,1
11224,1
11226,1
11227,1
11228,1
11229,1
11230,1
11231,1
11232,1
11233,1
11234,1
11235,1
11239,1
11240,1
11241,1
11243,1
11247,1
11249,1
11250,1
11253,1
11255,1
11256,1
11258,1
11259,1
11260,1
11261,1
11262,1
11263,1
11264,1
11265,1
11267,1
11269,1
11273,1
11274,1
11275,1
11276,1
11277,1
11278,1
11279,1
11281,1
11282,1
11284,1
11287,1
11289,1
11290,1
11301,1
11302,1
11303,1
11304,1
11307,1
11308,1
11309,1
11310,1
11311,1
11312,1
11313,1
11314,1
11315,1
11316,1
11317,1
11318,1
11319,1
11320,1
11321,1
11322,1
11323,1
11324,1
11325,1
11326,1
11328,1
11329,1
11332,1
11347,1
11348,1
11365,1
11366,1
11370,1
11379,1
11383,1
11392,1
11393,1
11395,1
11396,1
11397,1
11403,1
11405,1
11406,1
11407,1
11408,1
11409,1
11411,1
11417,1
11418,1
11431,1
11433,1
11436,1
11437,1
11448,1
11451,1
11470,1
11471,1
11480,1
11481,1
11483,1
11495,1
11512,1
11515,1
11517,1
11518,1
11521,1
11524,1
11525,1
11543,1
11553,1
11555,1
11556,1
11557,1
11558,1
11583,1
11584,1
11585,1
11586,1
11587,1
11589,1
11591,1
11597,1
11598,1
11600,1
11602,1
11604,1
11605,1
11609,1
11610,1
11611,1
11614,1
11619,1
11620,1
11621,1
11623,1
11624,1
11626,1
11627,1
11628,1
11630,1
11631,1
11635,1
11636,1
11641,1
11651,1
11654,1
11655,1
11656,1
11657,1
11658,1
11659,1
11674,1
11675,1
11682,1
11683,1
11685,1
11692,1
11697,1
11703,1
11707,1
11710,1
11712,1
11713,1
11716,1
11718,1
11719,1
11723,1
11728,1
11734,1
11737,1
11739,1
11740,1
11741,1
11742,1
11743,1
11744,1
11745,1
11758,1
11759,1
11761,1
11762,1
11763,1
11764,1
11765,1
11766,1
11767,1
11771,1
11774,1
11775,1
11776,1
11777,1
11778,1
11779,1
11780,1
11797,1
11798,1
11799,1
11800,1
11801,1
11803,1
11804,1
11809,1
11813,1
11834,1
11835,1
11837,1
11851,1
11853,1
11854,1
11857,1
11858,1
11864,1
11867,1
11894,1
11903,1
11904,1
11911,1
11913,1
11934,1
11936,1
11938,1
11939,1
11957,1
11974,1
11975,1
11976,1
11977,1
11978,1
11979,1
11980,1
11981,1
11982,1
11983,1
11984,1
12024,1
12026,1
12028,1
12037,1
12038,1
12052,1
12061,1
12065,1
12071,1
12072,1
12073,1
12074,1
12100,1
12108,1
12110,1
12121,1
12122,1
12127,1
12128,1
12131,1
12136,1
12137,1
12140,1
12141,1
12149,1
12153,1
12159,1
12162,1
12178,1
12266,1
12284,1
12302,1
12303,1
12310,1
12443,1
12446,1
12447,1
12456,1
12470,1
12471,1
12477,1
12534,1
12541,1
12542,1
12543,1
12545,1
12551,1
12552,1
12554,1
12569,1
12572,1
12578,1
12600,1
12601,1
12602,1
12603,1
12605,1
12630,1
12631,1
12639,1
12641,1
12643,1
12644,1
12646,1
12647,1
12648,1
12658,1
12661,1
12662,1
12663,1
12664,1
12665,1
12666,1
12667,1
12668,1
12669,1
12670,1
12671,1
12672,1
12673,1
12674,1
12675,1
12676,1
12677,1
12678,1
12680,1
12681,1
12683,1
12687,1
12690,1
12692,1
12693,1
12694,1
12696,1
12698,1
12699,1
12701,1
12702,1
12704,1
12705,1
12707,1
12708,1
12709,1
12764,1
12766,1
12767,1
12768,1
12769,1
12770,1
12772,1
12773,1
12775,1
12776,1
12785,1
12786,1
12787,1
12791,1
12792,1
12793,1
12794,1
12795,1
12796,1
12797,1
12799,1
12800,1
12801,1
12802,1
12806,1
12807,1
12810,1
12811,1
12819,1
12822,1
12823,1
12824,1
12825,1
12827,1
12828,1
12829,1
12830,1
12831,1
12832,1
12833,1
12834,1
12835,1
12836,1
12837,1
12840,1
12842,1
12843,1
12845,1
12846,1
12849,1
12855,1
12856,1
12857,1
12859,1
12860,1
12865,1
12866,1
12870,1
12872,1
12873,1
12877,1
12878,1
12885,1
12889,1
12895,1
12899,1
12902,1
12903,1
12904,1
12911,1
12913,1
12917,1
12920,1
12923,1
12925,1
12928,1
12929,1
12932,1
12933,1
12939,1
12940,1
12947,1
12948,1
12950,1
12956,1
12959,1
12962,1
12965,1
12966,1
12968,1
12970,1
12975,1
12977,1
12978,1
12980,1
12983,1
12994,1
12997,1
13000,1
13001,1
13003,1
13006,1
13008,1
13011,1
13014,1
13017,1
13018,1
13019,1
13020,1
13025,1
13027,1
13033,1
13043,1
13045,1
13047,1
13049,1
13051,1
13052,1
13053,1
13057,1
13058,1
13060,1
13061,1
13062,1
13065,1
13067,1
13070,1
13078,1
13085,1
13086,1
13087,1
13089,1
13091,1
13093,1
13094,1
13095,1
13096,1
13097,1
13098,1
13099,1
13100,1
13101,1
13102,1
13103,1
13104,1
13105,1
13106,1
13107,1
13108,1
13121,1
13124,1
13131,1
13132,1
13165,1
13166,1
13167,1
13168,1
13171,1
13173,1
13174,1
13175,1
13178,1
13180,1
13181,1
13182,1
13183,1
13184,1
13187,1
13193,1
13196,1
13198,1
13199,1
13200,1
13202,1
13204,1
13209,1
13210,1
13211,1
13223,1
13225,1
13237,1
13269,1
13307,1
13312,1
13313,1
13315,1
13316,1
13317,1
13331,1
13334,1
13335,1
13336,1
13337,1
13338,1
13343,1
13344,1
13345,1
13346,1
13349,1
13350,1
13351,1
13352,1
13355,1
13356,1
13357,1
13358,1
13359,1
13360,1
13368,1
13392,1
13401,1
13452,1
13453,1
13454,1
13499,1
13758,1
14202,1
14203,1
14204,1
14265,1
14334,1
14419,1
14444,1
14472,1
14473,1
14474,1
14475,1
14476,1
14477,1
14478,1
14479,1
14480,1
14481,1
14482,1
14483,1
14487,1
14512,1
14513,1
14514,1
14516,1
14824,1
14826,1
14836,1
14871,1
14930,1
14931,1
14981,1
15582,1
15583,1
15587,1
16006,1
16255,1
16345,1
16580,1
16584,1
16590,1
16591,1
16592,1
16687,1
16710,1
16717,1
16743,1
16744,1
16752,1
16781,1
16868,1
16875,1
16881,1
16906,1
16947,1
16958,1
16959,1
17016,1
17447,1
17465,1
17506,1
17507,1
17508,1
17517,1
17558,1
17559,1
17574,1
17803,1
17897,1
18113,1
18354,1
18447,1
18819,1
18820,1
18838,1
19013,1
19022,1
19056,1
19065,1
19206,1
19219,1
19220,1
19224,1
19225,1
19226,1
19231,1
19241,1
19246,1
19247,1
19248,1
19250,1
19253,1
19258,1
19260,1
19261,1
19262,1
19263,1
19264,1
19272,1
19273,1
19274,1
19277,1
19278,1
19285,1
19286,1
19288,1
19289,1
19290,1
19291,1
19292,1
19293,1
19294,1
19295,1
19299,1
19300,1
19301,1
19303,1
19307,1
19316,1
19317,1
19318,1
19321,1
19322,1
19328,1
19329,1
19330,1
19332,1
19334,1
19335,1
19336,1
19337,1
19338,1
19339,1
19340,1
19341,1
19342,1
19343,1
19344,1
19345,1
19346,1
19347,1
19349,1
19350,1
19351,1
19523,1
19524,1
19732,1
19815,1
19816,1
19826,1
20129,1
20366,1
20421,1
20517,1
20559,1
20639,1
20768,1
20771,1
20888,1
20889,1
20890,1
20891,1
20892,1
20893,1
21126,1
21651,1
21652,1
21693,1
21695,1
33284,2
34018,2
34019,2
34020,2
35155,2
35649,2
35655,2
36034,3
36043,3
36116,3
36370,3
37793,3
37800,3
37801,3
37803,3
37811,3
37819,3
37832,3
37835,3
37855,3
37856,3
37866,3
37867,3
37868,3
37869,3
37873,3
37876,3
37877,3
37878,3
37880,3
37898,3
37913,3
37914,3
37915,3
37916,3
37922,3
37924,3
37926,3
37927,3
37928,3
37945,3
37959,3
37960,3
37968,3
37970,3
37971,3
37974,3
37987,3
37989,3
37990,3
37991,3
37992,3
37993,3
38009,3
38012,3
38013,3
38016,3
38020,3
38022,3
38023,3
38024,3
38026,3
38031,3
38032,3
38035,3
38038,3
38039,3
38040,3
38041,3
38042,3
38043,3
38044,3
38045,3
38046,3
38047,3
38052,3
38057,3
38058,3
38066,3
38068,3
38069,3
38070,3
38347,3
39641,3
39651,3
39894,3
40332,3
40333,3
40335,3
40336,3
40337,3
40338,3
40339,3
40340,3
40341,3
40349,3
40352,3
40353,3
40419,3
40429,3
40432,3
40452,3
42889,3
44628,3
45070,3
45608,3
45609,3
45610,3
45696,3
45697,3
45702,3
45703,3
45704,3
45705,3
45706,3
45708,3
45709,3
45710,3
45711,3
45712,3
45713,3
45714,3
45715,3
45716,3
45717,3
45718,3
45719,3
45743,3
45800,3
45809,3
48882,3
48889,3
48890,3
48907,3
48916,3
48918,3
48919,3
48920,3
48940,3
48985,3
49104,3
49105,3
49466,3
49617,3
49798,3
51529,3
51531,3
51563,3
51587,3
51595,3
51649,3
51756,3
51757,3
51760,3
51761,3
51811,3
51812,3
51814,3
51833,3
51847,3
53522,3
53523,3
53543,3
53544,3
53545,3
53550,3
53583,3
53592,3
53595,3
53750,3
54184,3
54567,3
54789,3
54791,3
54792,3
54794,3
54795,3
54796,3
54911,3
54912,3
54913,3
54914,3
54915,3
54953,3
54967,3
55034,3
57185,3
57187,3
57188,3
57190,3
57191,3
57192,3
57193,3
57194,3
57234,3
57236,3
57237,3
57238,3
57240,3
57242,3
57243,3
57245,3
57286,3
57290,3
57291,3
57292,3
57293,3
57294,3
57295,3
57296,3
57297,3
57298,3
57299,3
57300,3
57301,3
57302,3
57303,3
57304,3
57305,3
57306,3
57307,3
57308,3
57309,3
57314,3
57321,3
57322,3
57323,3
57330,3
57331,3
57333,3
57339,3
57340,3
57556,3
61429,3
64533,3
64534,3
64535,3
64839,3
64840,3
64842,3
64843,3
64891,3
65002,3
65003,3
65590,3
65594,3
65595,3
72571,3
72573,3
72589,3
72719,3
72720,3
72752,3
73111,3
73169,3
73259,3
73260,3
73261,3
73296,3
74648,3
74650,3
74651,3
74652,3
74653,3
74657,3
74658,3
74659,3
74660,3
74668,3
74669,3
74671,3
74673,3
74674,3
74677,3
74679,3
74680,3
74681,3
74683,3
74685,3
74686,3
74691,3
74692,3
74696,3
74698,3
74701,3
74705,3
74710,3
74715,3
74719,3
74721,3
74725,3
74726,3
74728,3
74730,3
74733,3
74736,3
74743,3
74744,3
74749,3
74750,3
74752,3
74753,3
74837,3
74838,3
74840,3
74842,3
74843,3
74883,3
75235,3
75411,3
76031,3
76032,3
76033,3
76036,3
76037,3
76393,3
78435,3
141404,4
185933,5
185934,5
189551,5
189727,5
196918,5
207312,5
232204,1
232207,1
232208,1
232209,1
232211,1
232212,1
236111,1
282527,6
282530,6
282531,6
282532,6
282533,6
282534,6
282535,6
282537,6
282538,6
282539,6
282541,6
282552,6
282559,6
282560,6
282561,6
282569,6
282570,6
282571,6
282573,6
282575,6
282618,6
282883,6
283743,6
289702,6
289703,6
311939,7
313632,7
313650,7
313787,7
314561,7
314562,7
316756,7
316757,7
316758,7
316759,7
316760,7
316761,7
316762,7
316763,7
320928,7
387147,8
395123,8
395733,8
435573,9
435576,9
435577,9
435578,9
435579,9
435580,9
435581,9
435583,9
435585,9
435586,9
435590,9
435594,9
435595,9
435596,9
435597,9
435598,9
435599,9
435600,9
435601,9
435603,9
435604,9
435614,9
435615,9
435616,9
435617,9
435621,9
435622,9
435623,9
435626,9
435627,9
435630,9
435631,9
435632,9
435633,9
435635,9
435640,9
435641,9
435642,9
435643,9
435644,9
435645,9
435646,9
435647,9
435648,9
435649,9
435650,9
435651,9
435653,9
435654,9
435655,9
435656,9
435657,9
435658,9
435659,9
435663,9
435664,9
435665,9
435666,9
435670,9
435671,9
435672,9
435673,9
435678,9
435680,9
435682,9
435683,9
435684,9
435687,9
435688,9
435689,9
435690,9
435691,9
435692,9
435693,9
435694,9
435701,9
435702,9
435703,9
435704,9
435705,9
435706,9
435707,9
435708,9
435709,9
435711,9
435713,9
435714,9
435715,9
435716,9
435717,9
435718,9
435722,9
435723,9
435724,9
435725,9
435727,9
435728,9
435729,9
435730,9
435731,9
435733,9
435734,9
435737,9
435738,9
435740,9
435741,9
435742,9
435743,9
435744,9
435745,9
435746,9
435747,9
435749,9
435750,9
435751,9
435752,9
435753,9
435754,9
435755,9
435756,9
435757,9
435759,9
435760,9
435762,9
435763,9
435764,9
435765,9
435766,9
435768,9
435769,9
435770,9
435771,9
435772,9
435773,9
435774,9
435775,9
435776,9
435778,9
435779,9
435780,9
435793,9
435802,9
435803,9
435804,9
435805,9
435806,9
435807,9
435808,9
435809,9
435810,9
435813,9
435814,9
435817,9
435818,9
435819,9
435820,9
435822,9
435823,9
435824,9
435826,9
435829,9
435830,9
435831,9
435832,9
435833,9
435835,9
435837,9
435838,9
435839,9
435842,9
435843,9
435844,9
435847,9
435848,9
435849,9
435851,9
435852,9
435853,9
435855,9
435856,9
435857,9
435858,9
435859,9
435860,9
435861,9
435862,9
435863,9
435864,9
435866,9
435867,9
435868,9
435869,9
435870,9
435871,9
435872,9
435873,9
435874,9
435875,9
435876,9
435877,9
435878,9
435879,9
435880,9
435881,9
435882,9
435883,9
435884,9
435885,9
435886,9
435887,9
435888,9
435892,9
435894,9
435895,9
435896,9
435897,9
435898,9
435899,9
435900,9
435901,9
435902,9
435904,9
435905,9
435906,9
435907,9
435908,9
435909,9
435912,9
435914,9
435916,9
435917,9
435918,9
435921,9
435922,9
435923,9
435940,9
435944,9
435945,9
435946,9
435947,9
435948,9
435949,9
435950,9
435951,9
435952,9
435953,9
435954,9
435955,9
435956,9
435957,9
435958,9
435959,9
435960,9
435961,9
435962,9
435963,9
435964,9
435965,9
435966,9
435967,9
435968,9
435969,9
435971,9
435972,9
435975,9
435976,9
435977,9
435978,9
435979,9
435980,9
435981,9
435983,9
435984,9
435985,9
435986,9
435987,9
435988,9
435989,9
435990,9
435991,9
435992,9
435993,9
435997,9
435998,9
436000,9
436001,9
436002,9
436003,9
436004,9
436005,9
436006,9
436007,9
436008,9
436009,9
436010,9
436011,9
436012,9
436013,9
436014,9
436015,9
436016,9
436017,9
436018,9
436019,9
436020,9
436021,9
436022,9
436023,9
436024,9
436025,9
436026,9
436027,9
436028,9
436030,9
436033,9
436034,9
436035,9
436036,9
436037,9
436038,9
436039,9
436040,9
436041,9
436042,9
436043,9
436044,9
436045,9
436046,9
436047,9
436048,9
436049,9
436052,9
436053,9
436055,9
436056,9
436057,9
436060,9
436061,9
436062,9
436063,9
436064,9
436065,9
436068,9
436075,9
436076,9
436077,9
436078,9
436079,9
436080,9
436081,9
436083,9
436084,9
436085,9
436086,9
436088,9
436089,9
436090,9
436091,9
436092,9
436093,9
436095,9
436098,9
436099,9
436100,9
436101,9
436102,9
436103,9
436104,9
436105,9
436106,9
436107,9
436108,9
436114,9
436115,9
436116,9
436118,9
436119,9
436120,9
436121,9
436122,9
436123,9
436138,9
436139,9
436140,9
436141,9
436144,9
436145,9
436149,9
436150,9
436152,9
436153,9
436162,9
436168,9
436174,9
436175,9
436176,9
436177,9
436178,9
436179,9
436180,9
436182,9
436183,9
436184,9
436186,9
436187,9
436188,9
436189,9
436190,9
436191,9
436192,9
436193,9
436195,9
436196,9
436198,9
436199,9
436200,9
436201,9
436205,9
436206,9
436207,9
436208,9
436209,9
436210,9
436211,9
436212,9
436213,9
436214,9
436215,9
436216,9
436217,9
436221,9
436222,9
436223,9
436224,9
436225,9
436226,9
436227,9
436228,9
436229,9
436230,9
436235,9
436236,9
436238,9
436239,9
436240,9
436241,9
436243,9
436244,9
436245,9
436246,9
436248,9
436252,9
436253,9
436254,9
436255,9
436256,9
436257,9
436258,9
436260,9
436261,9
436262,9
436266,9
436267,9
436268,9
436269,9
436270,9
436271,9
436278,9
436280,9
436283,9
436286,9
436287,9
436288,9
436290,9
436291,9
436292,9
436293,9
436294,9
436295,9
436296,9
436297,9
436300,9
436301,9
436302,9
436305,9
436309,9
436310,9
436311,9
436312,9
436318,9
436319,9
436320,9
436321,9
436322,9
436323,9
436324,9
436325,9
436326,9
436327,9
436329,9
436331,9
436333,9
436334,9
436335,9
436337,9
436338,9
436339,9
436340,9
436341,9
436342,9
436343,2
436344,9
436345,9
436346,9
436347,9
436397,9
436398,9
436399,9
436404,9
436406,9
436407,9
436408,9
436409,9
436410,9
436413,9
436415,9
436416,9
436418,9
436419,9
436420,9
436422,9
436423,9
436426,9
436427,9
436428,9
436431,9
436432,9
436433,9
436434,9
436435,9
436436,9
436438,9
436439,9
436440,9
436441,9
436442,9
436445,9
436446,9
436448,9
436449,9
436450,9
436451,9
436452,9
436453,9
436454,9
436455,9
436456,9
436472,9
436480,9
436481,9
436482,9
436483,9
436484,9
436485,9
436489,9
436490,9
436491,9
436492,9
436493,9
436495,9
436496,9
436497,9
436498,9
436499,9
436502,9
436503,9
436504,9
436509,9
436510,9
436511,9
436515,9
436519,9
436520,9
436521,9
436522,9
436523,9
436524,9
436525,9
436526,9
436527,9
436528,9
